player_sk,player_id,player_name,dob,batting_hand,bowling_skill,country_name,batting_style
304,305,GJ Maxwell,1988-10-14,Right-hand bat,Right-arm offbreak,Australia,Right-Handed
305,306,SPD Smith,1989-06-02,Right-hand bat,Legbreak googly,India,Right-Handed
306,307,MN Samuels,1981-02-05,Right-hand bat,Right-arm offbreak,West Indies,Right-Handed
307,308,SA Yadav,1990-09-14,Right-hand bat,Right-arm offbreak,India,Right-Handed
308,309,KK Cooper,1989-02-16,Right-hand bat,Right-arm medium,West Indies,Right-Handed
309,310,JP Faulkner,1990-04-29,Right-hand bat,Left-arm fast-medium,Australia,Right-Handed
310,311,HV Patel,1990-11-23,Right-hand bat,Right-arm medium,India,Right-Handed
311,312,DAJ Bracewell,1990-09-28,Right-hand bat,Right-arm fast-medium,New Zealand,Right-Handed
312,313,DJ Harris,1979-12-31,Right-hand bat,Right-arm medium,Australia,Right-Handed
313,314,Ankit Sharma,1991-04-20,Left-hand bat,Slow left-arm orthodox,India,Left-Handed
314,315,SP Narine,1988-05-26,Left-hand bat,Right-arm offbreak,West Indies,Left-Handed
315,316,GB Hogg,1971-02-06,Left-hand bat,Slow left-arm chinaman,Australia,Left-Handed
316,317,RR Bhatkal,1985-09-01,Right-hand bat,Right-arm medium,India,Right-Handed
317,318,CJ McKay,1983-02-20,Right-hand bat,Right-arm fast-medium,Australia,Right-Handed
318,319,N Saini,1988-10-28,Right-hand bat,N/A,India,Right-Handed
319,320,DA Miller,1989-06-10,Left-hand bat,Right-arm offbreak,South Africa,Left-Handed
320,321,Azhar Mahmood,1975-02-28,Right-hand bat,Right-arm fast-medium,Pakistan,Right-Handed
321,322,P Negi,1993-01-06,Left-hand bat,Slow left-arm orthodox,India,Left-Handed
322,323,RJ Peterson,1979-08-04,Left-hand bat,Slow left-arm orthodox,South Africa,Left-Handed
323,324,KMDN Kulasekara,1982-07-22,Right-hand bat,Right-arm fast-medium,Sri Lanka,Right-Handed
324,325,A Ashish Reddy,1991-02-24,Right-hand bat,Right-arm medium,India,Right-Handed
325,326,V Pratap Singh,1992-05-03,Right-hand bat,Right-arm medium,India,Right-Handed
326,327,BB Samantray,1988-12-14,Right-hand bat,N/A,India,Right-Handed
327,328,MJ Clarke,1981-04-02,Right-hand bat,Slow left-arm orthodox,Australia,Right-Handed
328,329,Gurkeerat Singh,1990-06-29,Right-hand bat,Right-arm offbreak,India,Right-Handed
329,330,AP Majumdar,1984-04-30,Right-hand bat,Legbreak googly,India,Right-Handed
330,331,PA Reddy,1991-02-11,Right-hand bat,Legbreak,India,Right-Handed
331,332,K Upadhyay,1986-06-18,Right-hand bat,Right-arm medium,India,Right-Handed
332,333,P Awana,1986-07-19,Right-hand bat,Right-arm medium,India,Right-Handed
333,334,AD Russell,1988-04-29,Right-hand bat,Right-arm fast,West Indies,Right-Handed
334,335,A Chandila,1983-12-05,Right-hand bat,Right-arm offbreak,India,Right-Handed
335,336,CA Lynn,1990-04-10,Right-hand bat,Slow left-arm orthodox,Australia,Right-Handed
336,337,Sunny Gupta,1988-09-27,Right-hand bat,Right-arm offbreak,India,Right-Handed
337,338,MC Juneja,1990-09-12,Right-hand bat,Right-arm offbreak,India,Right-Handed
338,339,KK Nair,1991-12-06,Right-hand bat,Right-arm offbreak,India,Right-Handed
339,340,GH Vihari,1993-10-13,Right-hand bat,Right-arm offbreak,India,Right-Handed
340,341,MDKJ Perera,1990-08-17,Left-hand bat,N/A,Sri Lanka,Left-Handed
341,342,R Shukla,1990-08-28,Right-hand bat,Right-arm medium,India,Right-Handed
342,343,B Laughlin,1982-10-03,Right-hand bat,Right-arm fast-medium,Australia,Right-Handed
343,344,AS Rajpoot,1993-12-04,Right-hand bat,Right-arm medium,India,Right-Handed
344,345,M Vohra,1993-07-18,Right-hand bat,Right-arm medium,India,Right-Handed
345,346,JD Unadkat,1991-10-18,Right-hand bat,Left-arm medium,India,Right-Handed
346,347,Mohammed Shami,1990-09-03,Right-hand bat,Right-arm fast-medium,India,Right-Handed
347,348,BMAJ Mendis,1983-01-15,Left-hand bat,Legbreak,Sri Lanka,Left-Handed
348,349,R Rampaul,1984-10-15,Left-hand bat,Right-arm fast-medium,West Indies,Left-Handed
349,350,CH Morris,1987-04-30,Right-hand bat,Right-arm fast-medium,South Africa,Right-Handed
350,351,SV Samson,1994-11-11,Right-hand bat,N/A,India,Right-Handed
351,352,SMSM Senanayake,1985-02-09,Right-hand bat,Right-arm offbreak,Sri Lanka,Right-Handed
352,353,BJ Rohrer,1981-03-26,Left-hand bat,N/A,Australia,Left-Handed
353,354,KL Rahul,1992-04-18,Right-hand bat,N/A,India,Right-Handed
354,355,Q de Kock,1992-12-17,Left-hand bat,N/A,South Africa,Left-Handed
355,356,R Dhawan,1990-02-19,Right-hand bat,Right-arm medium-fast,India,Right-Handed
356,357,MG Johnson,1981-11-02,Left-hand bat,Left-arm fast,Australia,Left-Handed
357,358,LJ Wright,1985-03-07,Right-hand bat,Right-arm medium-fast,England,Right-Handed
358,359,IC Pandey,1989-08-15,Right-hand bat,Right-arm medium,India,Right-Handed
359,360,CM Gautam,1986-03-08,Right-hand bat,N/A,India,Right-Handed
360,361,X Thalaivan Sargunam,1985-05-15,Right-hand bat,Right-arm offbreak,India,Right-Handed
361,362,DJG Sammy,1983-12-20,Right-hand bat,Right-arm medium-fast,West Indies,Right-Handed
362,363,KW Richardson,1991-02-12,Right-hand bat,Right-arm fast-medium,Australia,Right-Handed
363,364,MM Sharma,1988-09-18,Right-hand bat,Right-arm medium,India,Right-Handed
364,365,UA Birla,1989-11-17,Right-hand bat,Right-arm medium,India,Right-Handed
365,366,Parvez Rasool,1989-02-13,Right-hand bat,Right-arm offbreak,India,Right-Handed
366,367,Sandeep Sharma,1993-05-18,Right-hand bat,Right-arm medium,India,Right-Handed
367,368,S Kaul,1990-05-19,Right-hand bat,Right-arm medium,India,Right-Handed
368,369,Sachin Baby,1988-12-18,Left-hand bat,Right-arm offbreak,India,Left-Handed
369,370,PV Tambe,1971-10-08,Right-hand bat,Legbreak,India,Right-Handed
370,371,NM CoulterNile,1987-10-11,Right-hand bat,Right-arm fast,Australia,Right-Handed
371,372,CJ Anderson,1990-12-13,Left-hand bat,Left-arm medium-fast,New Zealand,Left-Handed
372,373,NJ Maddinson,1991-12-21,Left-hand bat,Slow left-arm orthodox,Australia,Left-Handed
373,374,AR Patel,1994-01-20,Left-hand bat,Slow left-arm orthodox,India,Left-Handed
374,375,JJ Bumrah,1993-12-06,Right-hand bat,Right-arm medium,India,Right-Handed
375,376,JDS Neesham,1990-09-17,Left-hand bat,Right-arm medium,New Zealand,Left-Handed
376,377,TG Southee,1988-12-11,Right-hand bat,Right-arm medium-fast,New Zealand,Right-Handed
377,378,MA Starc,1990-01-30,Left-hand bat,Left-arm fast,Australia,Left-Handed
378,379,BR Dunk,1987-03-11,Left-hand bat,N/A,Australia,Left-Handed
379,380,RR Rossouw,1989-10-09,Left-hand bat,Right-arm offbreak,South Africa,Left-Handed
380,381,Shivam Sharma,1993-09-09,Right-hand bat,Right-arm offbreak,India,Right-Handed
381,382,YS Chahal,1990-07-23,Right-hand bat,Legbreak googly,India,Right-Handed
382,383,LMP Simmons,1985-01-25,Right-hand bat,Right-arm medium-fast,West Indies,Right-Handed
383,384,VH Zol,1994-11-23,Left-hand bat,Right-arm offbreak,India,Left-Handed
384,385,BCJ Cutting,1987-01-30,Right-hand bat,Right-arm fast-medium,Australia,Right-Handed
385,386,Imran Tahir,1979-03-27,Right-hand bat,Legbreak googly,India,Right-Handed
386,387,BE Hendricks,1990-06-08,Left-hand bat,Left-arm fast-medium,South Africa,Left-Handed
387,388,S Gopal,1993-09-04,Right-hand bat,Legbreak,India,Right-Handed
388,389,M de Lange,1990-10-13,Right-hand bat,Right-arm fast,South Africa,Right-Handed
389,390,R Tewatia,1993-05-20,Left-hand bat,Legbreak,India,Left-Handed
390,391,JO Holder,1991-11-05,Right-hand bat,Right-arm medium-fast,West Indies,Right-Handed
391,392,Karanveer Singh,1987-11-08,Right-hand bat,Legbreak googly,India,Right-Handed
392,393,SS Iyer,1994-12-06,Right-hand bat,Legbreak googly,India,Right-Handed
393,394,DJ Hooda,1995-04-19,Right-hand bat,Right-arm offbreak,India,Right-Handed
394,395,Anureet Singh,1988-03-02,Right-hand bat,Right-arm medium,India,Right-Handed
395,396,KS Williamson,1990-08-08,Right-hand bat,Right-arm offbreak,New Zealand,Right-Handed
396,397,SA Abbott,1992-02-29,Right-hand bat,Right-arm fast-medium,New Zealand,Right-Handed
397,398,J Suchith,1994-01-16,Left-hand bat,Slow left-arm orthodox,India,Left-Handed
398,399,RG More,1992-02-02,Right-hand bat,Right-arm medium,India,Right-Handed
399,400,HH Pandya,1993-10-11,Right-hand bat,Right-arm medium-fast,India,Right-Handed
400,401,D Wiese,1985-05-18,Right-hand bat,Right-arm medium-fast,South Africa,Right-Handed
401,402,SN Khan,1997-10-27,Right-hand bat,Legbreak,India,Right-Handed
402,403,MJ McClenaghan,1986-06-11,Left-hand bat,Left-arm fast-medium,New Zealand,Left-Handed
403,404,DJ Muthuswami,1981-03-09,Right-hand bat,Right-arm medium,India,Right-Handed
404,405,PJ Cummins,1993-05-08,Right-hand bat,Right-arm fast,Australia,Right-Handed
405,406,SN Thakur,1991-10-16,Right-hand bat,Right-arm medium,India,Right-Handed
406,407,JC Buttler,1990-09-08,Right-hand bat,N/A,England,Right-Handed
407,408,CR Brathwaite,1988-07-18,Right-hand bat,Right-arm fast-medium,West Indies,Right-Handed
408,409,MP Stoinis,1989-08-16,Right-hand bat,Right-arm medium,Australia,Right-Handed
409,410,Ishan Kishan,1998-07-18,Left-hand bat,N/A,India,Left-Handed
410,411,C Munro,1987-03-11,Left-hand bat,Right-arm medium-fast,New Zealand,Left-Handed
411,412,P Sahu,1985-08-21,Right-hand bat,Legbreak googly,India,Right-Handed
412,413,KH Pandya,1991-03-24,Left-hand bat,Slow left-arm orthodox,India,Left-Handed
413,414,AD Nath,1993-05-10,Right-hand bat,Right-arm medium-fast,India,Right-Handed
414,415,MJ Guptill,1986-09-30,Right-hand bat,Right-arm offbreak,New Zealand,Right-Handed
415,416,KJ Abbott,1987-06-18,Right-hand bat,Right-arm fast-medium,South Africa,Right-Handed
416,417,TM Head,1993-12-29,Left-hand bat,Right-arm offbreak,Australia,Left-Handed
417,418,M Ashwin,1990-09-08,Right-hand bat,Legbreak googly,India,Right-Handed
418,419,NS Naik,1994-11-09,Right-hand bat,N/A,India,Right-Handed
419,420,RR Pant,1997-10-04,Left-hand bat,N/A,India,Left-Handed
420,421,SW Billings,1991-06-15,Right-hand bat,N/A,England,Right-Handed
421,422,KC Cariappa,1994-04-13,Right-hand bat,Legbreak,India,Right-Handed
422,423,PSP Handscomb,1991-04-26,Right-hand bat,N/A,Australia,Right-Handed
423,424,Swapnil Singh,1991-01-22,Right-hand bat,Slow left-arm orthodox,India,Right-Handed
424,425,J Yadav,1990-01-22,Right-hand bat,Right-arm offbreak,India,Right-Handed
425,426,UT Khawaja,1986-12-18,Left-hand bat,Right-arm medium,Australia,Left-Handed
426,427,HM Amla,1983-03-31,Right-hand bat,Right-arm offbreak,South Africa,Right-Handed
427,428,F Behardien,1983-10-09,Right-hand bat,Right-arm fast-medium,South Africa,Right-Handed
428,429,BB Sran,1992-12-10,Left-hand bat,Left-arm medium,India,Left-Handed
429,430,A Zampa,1992-03-31,Right-hand bat,Legbreak googly,Australia,Right-Handed
430,431,N Rana,1993-12-27,Left-hand bat,Right-arm offbreak,India,Left-Handed
431,432,S Kaushik,1995-09-07,Right-hand bat,Slow left-arm chinaman,India,Right-Handed
432,433,ER Dwivedi,1988-07-22,Right-hand bat,N/A,India,Right-Handed
433,434,CJ Jordan,1988-10-04,Right-hand bat,Right-arm fast-medium,England,Right-Handed
434,435,P Amarnath,1982-06-01,Right-hand bat,Right-arm medium,India,Right-Handed
435,436,B Geeves,1982-06-13,Right-hand bat,Right-arm fast-medium,Australia,Right-Handed
436,437,Gagandeep Singh,1981-10-03,Right-hand bat,Right-arm medium-fast,India,Right-Handed
437,438,A Nel,1977-07-15,Right-hand bat,Right-arm fast-medium,South Africa,Right-Handed
438,439,AM Salvi,1981-10-20,Right-hand bat,Right-arm medium,India,Right-Handed
439,440,RR Bose,1979-02-27,Right-hand bat,Right-arm fast-medium,India,Right-Handed
440,441,SS Sarkar,1984-12-15,Right-hand bat,Right-arm medium,India,Right-Handed
441,442,RA Shaikh,1985-06-12,Left-hand bat,Left-arm medium,India,Left-Handed
442,443,C Ganapathy,1981-06-10,Right-hand bat,Right-arm medium,India,Right-Handed
443,444,MB Parmar,1988-04-12,Right-hand bat,Right-arm offbreak,India,Right-Handed
444,445,AA Kazi,1989-09-29,Left-hand bat,Slow left-arm orthodox,India,Left-Handed
445,446,Anand Rajan,1987-04-17,Right-hand bat,Right-arm medium,India,Right-Handed
446,447,P Prasanth,1985-05-22,Left-hand bat,Slow left-arm orthodox,India,Left-Handed
447,448,SS Mundhe,1988-10-27,Right-hand bat,Right-arm medium,India,Right-Handed
448,449,RW Price,1976-06-12,Right-hand bat,Slow left-arm orthodox,Zimbabwea,Right-Handed
449,450,TP Sudhindra,1984-04-24,Left-hand bat,Right-arm fast,India,Left-Handed
450,451,BW Hilfenhaus,1983-03-15,Right-hand bat,Right-arm fast-medium,Australia,Right-Handed
451,452,S Badree,1981-03-09,Right-hand bat,Legbreak,West Indies,Right-Handed
452,453,P Suyal,1989-10-15,Right-hand bat,Left-arm medium,India,Right-Handed
453,454,MG Neser,1990-03-29,Right-hand bat,Right-arm medium,Australia,Right-Handed
454,455,V Shankar,1991-01-26,Right-hand bat,Right-arm medium,India,Right-Handed
455,456,K Santokie,1984-12-20,Left-hand bat,Left-arm medium,West Indies,Left-Handed
456,457,JW Hastings,1985-11-04,Right-hand bat,Right-arm fast-medium,Australia,Right-Handed
457,458,TA Boult,1989-07-22,Right-hand bat,Left-arm fast-medium,New Zealand,Right-Handed
458,459,GS Sandhu,1993-06-14,Left-hand bat,Right-arm fast-medium,Australia,Left-Handed
459,460,Mustafizur Rahman,1995-09-06,Left-hand bat,Left-arm fast-medium,Bangladesh,Left-Handed
460,461,AF Milne,1992-04-13,Right-hand bat,Right-arm fast,New Zealand,Right-Handed
461,462,Kuldeep Yadav,1994-12-14,Left-hand bat,Slow left-arm chinaman,India,Left-Handed
462,463,T Shamsi,1990-02-18,Right-hand bat,Slow left-arm chinaman,South Africa,Right-Handed
463,464,SM Boland,1989-04-11,Right-hand bat,Right-arm fast-medium,Australia,Right-Handed
464,465,DL Chahar,1992-08-07,Right-hand bat,Right-arm medium,India,Right-Handed
465,466,P Dharmani,1974-09-27,Right-hand bat,N/A,India,Right-Handed
466,467,RV Pawar,1979-09-06,Left-hand bat,Slow left-arm orthodox,India,Left-Handed
467,468,KH Devdhar,1989-12-14,Right-hand bat,N/A,India,Right-Handed
468,469,T Mishra,1986-12-22,Right-hand bat,Right-arm fast-medium,India,Right-Handed
469,470,A Choudhary,1990-01-28,Right-hand bat,Left-arm medium,India,Right-Handed
470,471,AJ Tye,1986-12-12,Right-handed,Right-arm medium fast,Australia,Right-Handed
471,472,Ankit Soni,1993-08-02,�Right-hand bat,�Legbreak,India,Right-Handed
472,473,AR Bawne,1992-12-17,�Right-hand bat,Right-arm offbreak,India,Right-Handed
473,474,Avesh Khan,1996-12-13,Right-hand bat,Right-arm medium-fast,India,Right-Handed
474,475,B Stanlake,1994-11-04,Left-hand bat,Right-arm fast,Australia,Left-Handed
475,476,BA Stokes,1991-06-04,Left-hand bat,Right-arm fast-medium,England,Left-Handed
476,477,Basil Thampi,1993-09-11,Right-hand bat,�Right-arm fast-medium,India,Right-Handed
477,478,C de Grandhomme,1986-07-22,Right-hand bat,Right-arm fast-medium,New Zealand,Right-Handed
478,479,CR Woakes,1989-03-02,�Right-hand bat,Right-arm fast-medium,England,Right-Handed
479,480,DM Bravo,1989-02-06,�Left-hand bat,Right-arm medium-fast,West Indies,Left-Handed
480,481,JJ Roy,1990-07-21,�Right-hand bat,NULL,England,Right-Handed
481,482,K Rabada,1995-05-25,�Left-hand bat,Right-arm fast,South Africa,Left-Handed
482,483,LH Ferguson,1991-06-13,Right-hand bat,Right-arm fast,New Zealand,Right-Handed
483,484,MJ Henry,1991-12-14,�Right-hand bat,Right-arm fast-medium,New Zealand,Right-Handed
484,485,Mohammad Nabi,1985-01-01,�Right-hand bat,Right-arm offbreak,Afghanistan,Right-Handed
485,486,Mohammed Siraj,1994-03-13,Right-hand bat,�Right-arm medium-fast,India,Right-Handed
486,487,NB Singh,1995-09-08,Right-hand bat,Right-arm medium,India,Right-Handed
487,488,RA Tripathi,1991-03-02,�Right-hand bat,Right-arm medium,India,Right-Handed
488,489,Rashid Khan,1998-11-20,Right-hand bat,Legbreak googly,Afghanistan,Right-Handed
489,490,RD Chahar,1999-08-04,Right-hand bat,Legbreak googly,India,Right-Handed
490,491,SP Jackson,1986-09-27,Right-hand bat,NULL,India,Right-Handed
491,492,SS Agarwal,1993-11-21,Right-hand bat,Legbreak googly,India,Right-Handed
492,493,T Natarajan,1991-05-27,Left-hand bat,Left-arm medium,India,Left-Handed
493,494,Tejas Baroka,1996-02-01,Right-hand bat,Legbreak googly,India,Right-Handed
494,495,TS Mills,1992-08-12,Right-hand bat,�Left-arm fast,England,Right-Handed
495,496,Vishnu Vinod,1993-12-02,Right-hand bat,NULL,India,Right-Handed
496,497,Washington Sundar,1999-10-05,�Left-hand bat,�Right-arm offbreak,India,Left-Handed
